,Unnamed: 0,15,30,60,300,15,30,60,300,full tour
0,Atlanta,2383751.5995840775,2313977.818586592,2317747.2368010925,2226067.852107953,yes
1,Berlin,21592.15444276032,21317.6691681889,18184.02136535692,17531.173094664493,yes
2,Boston,1679287.207676157,1660940.3395390229,1636113.0803649186,1572912.5357863358,yes
3,Champaign,146742.7379690038,127342.1413926026,123268.11187006072,121902.81663521212,yes
4,Cincinnati,277952.58649571467,277952.58649571467,277952.58649571467,277952.58649571467,yes
5,Denver,414736.1694657458,346297.6772265819,338544.01212606847,337687.70655273367,yes
6,NYC,4291320.014076475,4255917.0606871825,4232873.769923972,4137317.7926053023,yes
7,Philadelphia,1983411.310647447,1882834.260362417,1851419.9114374823,1819612.7996474288,yes
8,Roanoke,6062910.769620427,5898881.133004086,4959085.127712433,5149364.10480369,yes
9,SanFransisco,4216679.847362889,3554557.695092988,3489123.3330834717,3589354.749410894,yes
10,Toronto,6743238.074682442,6286286.8284459235,5989344.470688805,5828905.502803104,yes
11,UKansasState,62962.312807422444,62962.312807422444,62962.312807422444,62962.312807422444,yes
12,UMissouri,589753.4666901476,509878.9893426045,506233.45952958893,489173.6582748195,yes